codingschoolemail	codingschoolemail | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_cf3937d5cea143d68d46dc979b8595b7~mv2.jpg|
copy-of-140pnc	190pnc | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_444812fe507f47269d3c01b747aac1a0~mv2.jpg|
copy-of-190pnc	195pnc | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_1bf666db68a341bda8daae2594ddaa87~mv2.jpg|
copy-of-195pnc	aimmune1 | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_2bcd1ac45fe04f64a0515ca7b3adf027~mv2.jpg|
copy-of-502489	familytime | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_c5ff737f5e0b4cf3b0097c63b4d66383~mv2.jpg|
copy-of-aimmune1	aimmune2 | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_3a1c4d604bd544389d4608a79790bd31~mv2.jpg|
copy-of-aimmune2	tmobile-sql | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_803ce7a5339147f1a6470a9b1f737dc7~mv2.png|https://static.wixstatic.com/media/8c2b96_92eb8d70d8cc4148acff91782de88f31~mv2.png|
copy-of-amex-creditintel-auto-loan	Copy of amex-creditintel-auto-loan | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_882fbbd5f26f45d295446ee9ce0bf839~mv2.png|https://static.wixstatic.com/media/8c2b96_fd21792ccb0b4aa6acbe622a558a7dea~mv2.png|
copy-of-familytime	firstrespond | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_ef9e4893be6f4b459475577a2f4978eb~mv2.png|
copy-of-firstrespond	hbo1 | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_84855f1f1e7245f0bfeb271a6a439bf3~mv2.png|
copy-of-project-4	ATT direct mail | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_301fc908d87d411db320cb45e20383bb~mv2.png|
decalthon	decalthon website | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_d823b3a9927547eaaf6f5672f1ed0eeb~mv2.png|
directv-personalization	directv-personalization | Portfolio	https://static.wixstatic.com/media/8c2b96_82c83313e0c74056844f4f9bee648306~mv2.png|
directvspanish	DirecTV Spanish | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_95667c9d56374c979b2456cde81ecbcd~mv2.jpg|
directvtelevisioncontentupsellemail	DirecTV Television Content Upsell Email | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_a50dbd92de5c473da2e9edcf0de377f8~mv2.png|
directvufc	directv ufc | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_8069a610416440bd9552c7d76a26a100~mv2.jpg|
directvupsellpromo	Directv Upsell Promo | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_7cd9520012d24167b43944cf81b0ba75~mv2.png|
emory-healthcare	emory-healthcare | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_8040d7f708b643549e7d3ff34c64a0ff~mv2.png|https://static.wixstatic.com/media/8c2b96_aecde9a17c18459c8073afd417ec8170~mv2.png|
emory-kpi-dash	Emory KPI Dashboard | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_56a6ff1bba7643a98da12025708046fb~mv2.png|
emory-sfmc-calendar	emory-sfmc-calendar | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_14f17bc6391f47449c7c1ab4078bcef9~mv2.png|
fiber	fiber | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_32bb9e06a52c42a78fc2d7307b6dbf4a~mv2.png|
findaclass	Glo - Find a Class | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_01ad6772c3714f99b90016801402d14a~mv2.jpg|
gameofthrones	Game of Thrones | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_9da47f2f5ccb49209ef1246267a907b4~mv2.jpg|
glo-trialextension	Glo Trial Extension | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_993f34ac81854ec9b1dca9eacc922a75~mv2.jpg|
glo2	Glo2 | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_d53fe4874d8842498be626d8a1e9d986~mv2.jpg|
gloinstructors	Glo - Instructors | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_76815dd576974b1ca0ab2deeb3040e5d~mv2.jpg|
glowebsite	Glo Website | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_48a8ed06596e4fc894626e94e15e6cf2~mv2.png|https://static.wixstatic.com/media/8c2b96_85c24494ee0b43f1823c904b59430fb8~mv2.png|https://static.wixstatic.com/media/8c2b96_cfd7653f536046e08b491bd3aea30d46~mv2.png|https://static.wixstatic.com/media/8c2b96_e00bb4571d724d6098501caf388733f3~mv2.png|
hanson	hanson | davidz-losangeles.com	
hbo-max	hbo-max | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_95f5352d938046bb8c02844165cc2eba~mv2.jpg|
movie-channel-partnership	movie channel partnership | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_270ee4b62a68463ab2acdcf03f462b94~mv2.jpg|
nbc	nbc | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_f2daab444e5345368bac67cca5bcbadf~mv2.png|
ncaa	NCAA | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_e8b24b7a624a47feb1f527a918136769~mv2.jpg|
ozempic1	ozempic | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_ba736bff61c446ec91f14bad4864e901~mv2.png|
patient-reengagement-campaign	patient-reengagement-campaign | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_3b93f3740aa545deb0573197822d81f5~mv2.png|https://static.wixstatic.com/media/8c2b96_ea117df3321643bd92f88f077bbf5933~mv2.png|
petitenpretty	Petite n pretty | davidz-losangeles.com	
pnc-refi	140pnc | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_ddcc30a7438f48a5a50f325b148a2086~mv2.jpg|
savekhaki	savekhaki | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_f06fcd40ceea459e8a700840908392e5~mv2.png|
servicemessage2	servicemessage2 | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_140471b28c604dfcbf6077a95ee871f1~mv2.png|
showtime	showtime | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_9b9ebdfd443b44e48eb2bc16912200ea~mv2.jpg|
spotify	spotify | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_36e484fdc1e741668fb672dbbcf5b83c~mv2.jpg|
starz-directv	Starz Directv | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_fd1ad3d92f484cc190ad6dc71d811625~mv2.jpg|
sundayticket	Sunday ticket | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_8c80a4f3da9e4bb4afc3e6ba520d3ce5~mv2.jpg|
titangames	titan games | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_7fcee7867a30489482a6384323b71453~mv2.jpg|
tmo-hint1	tmo-hint1 | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_12867f2638cf425ca67a48e62097f08a~mv2.png|https://static.wixstatic.com/media/8c2b96_3a6b1d94d9f740e8ace5434d926576bf~mv2.png|https://static.wixstatic.com/media/8c2b96_707ec8e6b26b4bc8ba90ece89a1f5680~mv2.png|https://static.wixstatic.com/media/8c2b96_96630cb6754e4672bd35bf6ab0a735c4~mv2.png|
toa	TOA | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_376b3cb3aab342a28335dea363ffa380~mv2.png|
toyota-mirai	toyota mirai | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_55063e76d37d46799de3db7c12ab26e3~mv2.png|
toyota-ngb-figure-skating	Toyota-NGB-Figure-skating | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_d09d6d6b47d541b49e0246b2f81f35e8~mv2.jpg|
toyota-ngb-hockey	Toyota-NGB-Hockey | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_96466fce07a74b4d9f242a4a0a2cc42f~mv2.jpg|
toyota-ngb-triathlon	Toyota-NGB-Triathlon | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_8b9233b16a6a42e7b96cb04d3d611f28~mv2.jpg|
tpf1	TPF | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_c22ccafb71604b5ca55d3d0d6addf965~mv2.png|
true-crime	true-crime | davidz-losangeles.com	
truecrime	truecrime | davidz-losangeles.com	
unitedhealthcarethisisnews	unitedhealthcarethisisnews | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_2e2f03e42a814fb0bf8f5a4fdc45664a~mv2.png|https://static.wixstatic.com/media/8c2b96_34431c36230d4c9e899271dc0f03764d~mv2.png|
waste-management-hurricane	hurrican-wm | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_0d1bb59a45a54b4f9166b092407e857b~mv2.png|
waste-management1	waste-management1 | davidz-losangeles.com	https://static.wixstatic.com/media/8c2b96_0d1bb59a45a54b4f9166b092407e857b~mv2.png|
